,interventions,counts
0,Traditional Medicine,223
1,Azvudine,3
2,Remdesivir,25
3,Cytokine absorber,3
4,Canakinumab,3
5,BNT162b1,1
6,BNT162b2,5
7,BNT162b2SA,1
8,Ruxolitinib,15
9,Sarilumab,10
10,Convalescent Plasma,135
11,Acalabrutinib,3
12,Recombinant human angiotensin-converting enzyme 2,1
13,Favipiravir,51
14,ABX464,1
15,Extracorporeal CO2 removal (ECCO2R),1
16,Selinexor,1
17,BCG Vaccine,14
18,Tocilizumab,51
19,Exosomes,1
20,Vitamin C,15
21,Baloxavir marboxil,2
22,Lopinavir,54
23,Ritonavir,61
24,Interleukin-2,2
25,Interferon Alpha,13
26,Ozone,2
27,itolizumab,4
28,Chloroquine,41
29,Methylprednisolone,23
30,Interferon Lambda,2
31,Blood Transfusion,2
32,Hydroxychloroquine,198
33,Azithromycin,58
34,Bamlanivimab,14
35,Sotrovimab,5
36,BRII-196/BRII-198,1
37,Lufotrelvir,1
38,Ensovibep,1
39,AZD7442,4
40,Ivermectin,64
41,Ciclesonide,4
42,Interleukin-7,6
43,Itraconazole,1
44,Vitamin D (Cholecalciferol),7
45,Bromhexine,6
46,CD24Fc,1
47,Anakinra,17
48,Siltuximab,3
49,Rivaroxaban,9
50,Thromboprophylaxis,1
51,Candesartan,1
52,non-RAS blocking antihypertensives,1
53,Asunercept,3
54,Pentaglobin,1
55,BLD-2660,1
56,Mouthrinse,3
57,Interferon Beta,15
58,Immunoglobulin,21
59,Ulinastatin,4
60,Dexamethasone,26
61,Clarithromycin,2
62,NA-831,3
63,Atazanavir,3
64,Losartan,7
65,Radiation,4
66,Prednison,2
67,Casirivimab,7
68,Imdevimab,7
69,Merimepodib,1
70,Doxycycline,10
71,Cospherunate,2
72,Phytomedicine,4
73,Vitamin D3 (Calcitriol),1
74,Clindamycin,3
75,Primaquine,2
76,peginterferon Lambda-1a,1
77,Colchicine,27
78,Aspirin,12
79,Recombinant human plasma gelsolin (Rhu-pGSN),1
80,Hydrocortisone,1
81,mefloquine,2
82,Zinc,21
83,Povidone-iodine,30
84,Daclatasvir,8
85,Sofosbuvir,11
86,Nitazoxanide,23
87,Ribavirin,7
88,sirolimus,3
89,Deferoxamine,2
90,Danoprevir,4
